#ID,Description,Platforms,Command1,Expected1,Command2,Expected2,Command3,Expected3,Command4,Expected4
#1A,Verify product download and installation,all,install(smbclient \\\\10.10.60.5\\share -U administrator centeris||Release_builds\Lwidentity-5.4\8025\LWISE\||/root/),Install complete,,,,,,,,,,
14,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\] &   ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &   ""value_str_1""   REG_SZ          ""I'm a string"" & [HKEY_THIS_MACHINE\Services] & [HKEY_THIS_MACHINE\key_name_1] & [HKEY_THIS_MACHINE\key_name_2]",,,,,,
15,Go up one level in Registry,all,cd key_name_1,HKEY_THIS_MACHINE\key_name_1>,,,,,,
16,Add a String value,all,"add_value value1 reg_sz ""string value""",,,,,,,
17,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &   ""value1"" REG_SZ          ""string value""",,,,,,
18,Modify existing String value,all,"set_value value1 ""another string value""",,,,,,,
19,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &   ""value1"" REG_SZ          ""another string value""",,,,,,
20,Add a Dowrd value,all,add_value value2 reg_dword 111111,,,,,,,
21,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &   ""value1"" REG_SZ          ""another string value"" &   ""value2"" REG_DWORD       0x0001b207 (111111)",,,,,,
22,Modify existing Dword value,all,set_value value2 9999999,,,,,,,
23,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &   ""value1"" REG_SZ          ""another string value"" &   ""value2"" REG_DWORD       0x0098967f (9999999)",,,,,,
24,Add a Binary value,all,add_value value3 reg_binary 111111,,,,,,,
25,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &   ""value1"" REG_SZ          ""another string value"" &   ""value2"" REG_DWORD       0x0098967f (9999999) &   ""value3"" REG_BINARY      11,11,11",,,,,,
26,Modify existing Binary value,all,set_value value3 010101010,,,,,,,
27,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &  ""value1"" REG_SZ          ""another string value"" &  ""value2"" REG_DWORD       0x0098967f (9999999) &  ""value3"" REG_BINARY      00,10,10,10,10",,,,,,
28,Add sub key value,all,add_key sub_key_name,,,,,,,
29,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\key_name_1\] &  ""value1"" REG_SZ          ""another string value"" &  ""value2"" REG_DWORD       0x0098967f (9999999) &  ""value3"" REG_BINARY      00,10,10,10,10 & [HKEY_THIS_MACHINE\key_name_1\sub_key_name]",,,,,,
30,Go back up one level in Registry,all,cd ..,,,,,,,
31,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\] &  ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &  ""value_str_1""   REG_SZ          ""I'm a string"" & [HKEY_THIS_MACHINE\Services] & [HKEY_THIS_MACHINE\key_name_1] & [HKEY_THIS_MACHINE\key_name_2]",,,,,,
32,Delete a Key value,all,delete_key key_name_2,,,,,,,
33,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\] &  ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &  ""value_str_1""   REG_SZ          ""I'm a string"" & [HKEY_THIS_MACHINE\Services] & [HKEY_THIS_MACHINE\key_name_1]",,,,,,
34,Delete a Key value,all,delete_key key_name_1,"regshell (error = 40703 - LWREG_ERROR_FAILED_DELETE_HAS_SUBKEY) & Cannot delete key because it still has subkeys (If you want to delete the key, please use delete_tree.)", please use delete_tree.),,,,,
35,Delete a Key value has sub key value,all,delete_tree key_name_1,,,,,,,
36,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\] &  ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &  ""value_str_1""   REG_SZ          ""I'm a string"" & [HKEY_THIS_MACHINE\Services]",,,,,,
37,Stop regshell,all,regshellstop(),,,,,,,
